2025-05-27 09:08:49.215 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-05-27 09:08:49.219 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-05-27 09:08:49.224 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-05-27 09:08:49.230 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1748317129228 with initial instances count: 0
2025-05-27 09:08:49.251 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application SUPPLIER-SERVICE with eureka with status UP
2025-05-27 09:08:49.255 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1748317129255, current=UP, previous=STARTING]
2025-05-27 09:08:49.258 [restartedMain] WARN  c.n.discovery.InstanceInfoReplicator - Ignoring onDemand update due to rate limiter
2025-05-27 09:08:49.261 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5005"]
2025-05-27 09:08:49.265 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SUPPLIER-SERVICE/LTIN593012.mshome.net:supplier-service:5005: registering service...
2025-05-27 09:08:49.310 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5005 (http) with context path '/'
2025-05-27 09:08:49.312 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 5005
2025-05-27 09:08:49.371 [restartedMain] INFO  c.c.i.s.SupplierServiceApplication - Started SupplierServiceApplication in 30.243 seconds (process running for 35.478)
2025-05-27 09:08:49.396 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_SUPPLIER-SERVICE/LTIN593012.mshome.net:supplier-service:5005 - registration status: 204
2025-05-27 09:08:50.040 [RMI TCP Connection(5)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-27 09:08:50.041 [RMI TCP Connection(5)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-27 09:08:50.047 [RMI TCP Connection(5)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2025-05-27 09:09:19.232 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2025-05-27 09:09:19.233 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2025-05-27 09:09:19.233 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2025-05-27 09:09:19.233 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2025-05-27 09:09:19.233 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-05-27 09:09:19.233 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: false
2025-05-27 09:09:19.233 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-05-27 09:09:19.298 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-05-27 09:13:48.376 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:18:48.390 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:23:48.398 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:28:48.401 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:33:48.408 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:38:48.424 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:43:48.432 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-05-27 09:44:24.725 [http-nio-5005-exec-1] INFO  c.c.i.s.c.SupplierController - POST /api/suppliers - Request body: SupplierRequest(name=KatnaBEhe, contactInfo=2004005001, productsSupplied=[11, 17, 18])
2025-05-27 09:44:24.728 [http-nio-5005-exec-1] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Creating a new supplier: SupplierRequest(name=KatnaBEhe, contactInfo=2004005001, productsSupplied=[11, 17, 18])
2025-05-27 09:44:25.038 [http-nio-5005-exec-1] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Supplier created with ID: 3
2025-05-27 09:44:25.038 [http-nio-5005-exec-1] INFO  c.c.i.s.c.SupplierController - Supplier created with ID: 3
2025-05-27 09:44:43.077 [http-nio-5005-exec-2] INFO  c.c.i.s.c.SupplierController - GET /api/suppliers
2025-05-27 09:44:43.078 [http-nio-5005-exec-2] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Fetching all suppliers.
2025-05-27 09:45:01.129 [http-nio-5005-exec-3] INFO  c.c.i.s.c.SupplierController - GET /api/suppliers/1
2025-05-27 09:45:01.129 [http-nio-5005-exec-3] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Fetching details for supplier ID: 1
2025-05-27 09:45:01.825 [http-nio-5005-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [feign.FeignException$NotFound: [404] during [GET] to [http://purchase-service/suppliers/1] [PurchaseOrderClient#getOrdersBySupplier(Long)]: [{"timestamp":"2025-05-27T04:15:01.763+00:00","status":404,"error":"Not Found","trace":"org.springframework.web.servlet.resource.NoResourceFoundException: No static resource suppliers/1.\r\n\tat org.sp... (4676 bytes)]]
2025-05-27 09:45:07.629 [http-nio-5005-exec-8] INFO  c.c.i.s.c.SupplierController - GET /api/suppliers/3
2025-05-27 09:45:07.644 [http-nio-5005-exec-8] INFO  c.c.i.s.s.impl.SupplierServiceImpl - Fetching details for supplier ID: 3
